Date,Adj Close ^KLSE,Close ^KLSE,High ^KLSE,Low ^KLSE,Open ^KLSE,Volume ^KLSE,date,close
2024-04-18,1544.760009765625,1544.760009765625,1548.4599609375,1538.6800537109375,1539.8399658203125,192585300,2024-04-18,1544.760009765625
2024-04-19,1547.5699462890625,1547.5699462890625,1552.449951171875,1545.9000244140625,1546.300048828125,217831000,2024-04-19,1547.5699462890625
2024-04-22,1559.5899658203125,1559.5899658203125,1559.93994140625,1548.3800048828125,1548.5699462890625,162909500,2024-04-22,1559.5899658203125
2024-04-23,1561.6400146484375,1561.6400146484375,1567.5699462890625,1559.81005859375,1559.81005859375,215225200,2024-04-23,1561.6400146484375
2024-04-24,1571.47998046875,1571.47998046875,1572.47998046875,1564.8900146484375,1565.489990234375,217218900,2024-04-24,1571.47998046875
2024-04-25,1569.25,1569.25,1574.449951171875,1569.030029296875,1573.2900390625,229077400,2024-04-25,1569.25
2024-04-26,1575.1600341796875,1575.1600341796875,1575.5699462890625,1566.3399658203125,1567.6700439453125,249177600,2024-04-26,1575.1600341796875
2024-04-29,1582.6600341796875,1582.6600341796875,1583.3399658203125,1575.0,1576.300048828125,284290000,2024-04-29,1582.6600341796875
2024-04-30,1575.969970703125,1575.969970703125,1589.06005859375,1575.969970703125,1583.5799560546875,333275400,2024-04-30,1575.969970703125
2024-05-02,1580.300048828125,1580.300048828125,1582.6800537109375,1574.27001953125,1574.969970703125,246289200,2024-05-02,1580.300048828125
2024-05-03,1589.5899658203125,1589.5899658203125,1590.56005859375,1581.5899658203125,1581.5899658203125,262487200,2024-05-03,1589.5899658203125
2024-05-06,1597.3900146484375,1597.3900146484375,1598.260009765625,1591.1700439453125,1591.800048828125,201147700,2024-05-06,1597.3900146484375
2024-05-07,1605.6800537109375,1605.6800537109375,1610.3199462890625,1600.6600341796875,1600.8499755859375,265320400,2024-05-07,1605.6800537109375
2024-05-08,1604.75,1604.75,1610.25,1602.2900390625,1606.9599609375,216508600,2024-05-08,1604.75
2024-05-09,1601.219970703125,1601.219970703125,1607.3800048828125,1599.2900390625,1606.2099609375,168553600,2024-05-09,1601.219970703125
2024-05-10,1600.6700439453125,1600.6700439453125,1604.0699462890625,1599.8399658203125,1603.4599609375,180639100,2024-05-10,1600.6700439453125
2024-05-13,1602.9100341796875,1602.9100341796875,1604.800048828125,1600.4300537109375,1602.300048828125,163107600,2024-05-13,1602.9100341796875
2024-05-14,1605.8800048828125,1605.8800048828125,1607.4200439453125,1601.43994140625,1601.6199951171875,208290100,2024-05-14,1605.8800048828125
2024-05-15,1603.22998046875,1603.22998046875,1607.6400146484375,1603.22998046875,1605.75,194095600,2024-05-15,1603.22998046875
2024-05-16,1611.1099853515625,1611.1099853515625,1611.5699462890625,1604.3800048828125,1604.3800048828125,183263300,2024-05-16,1611.1099853515625
2024-05-17,1616.6199951171875,1616.6199951171875,1619.449951171875,1611.9300537109375,1612.4200439453125,219231700,2024-05-17,1616.6199951171875
2024-05-20,1627.5,1627.5,1629.81005859375,1618.280029296875,1618.280029296875,200289800,2024-05-20,1627.5
2024-05-21,1622.0899658203125,1622.0899658203125,1628.3800048828125,1620.800048828125,1628.3800048828125,230614000,2024-05-21,1622.0899658203125
2024-05-23,1629.1800537109375,1629.1800537109375,1632.7900390625,1620.6600341796875,1620.6600341796875,249478800,2024-05-23,1629.1800537109375
