source,category,url,title,date,body
malaysiakini_news,news,https://www.malaysiakini.com/news/768402,"'Return home,' Umno tells Johor Bersatu members after 11 divisions dissolved",,"A Johor Umno division leader has invited Bersatu members affected by the dissolution of 11 divisions in the state to join Umno, describing the development as proof that Malay political strength cannot be built on division.
In a statement today, Johor Bahru Umno chief Yahya Jaafar said the disbandment – which includes the Johor Bahru division – should serve as a lesson that political stability and unity are crucial in safeguarding Malay interests.
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768418,Putra president accuses govt of double-faced stance on Azam issue,,"Rebuking the ""double-faced"" attitude of current government leaders, Ibrahim reminded the public that before the 15th general election, PKR leaders had openly pledged to take stern action against MACC chief commissioner Azam Baki...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768422,"Bersatu not lacking in leaders, Tun Faisal says amid resignations",,"Bersatu information chief Tun Faisal Ismail Aziz has insisted the party is not lacking in leadership despite the departures of leaders who were either sacked or resigned in recent weeks.
In a statement, Tun Faisal said divisions affected by the actions of supporters aligned with sacked deputy president Hamzah Zainudin have a succession line capable of maintaining the party's struggle.
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768428,PN urges 'RCI-like committee' to probe Rafizi's alleged RM1.1b 'mega deal',,"PN chief whip Takiyuddin Hassan said immediate action was necessary if the government is serious in its commitment to combat corruption and misconduct....
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768430,Passing of ex-CJ a major loss to judiciary and nation,,"The Office of the Chief Registrar of the Federal Court said today that Hamid, who served as chief justice from Nov 1, 2007, to Oct 17, 2008, made invaluable contributions to the judiciary during his career...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768433,"Financial, mental distress behind rising family tragedies, MMA says",,"MMA president Dr Thirunavukarasu Rajoo described recent instances of family tragedies as a stark reminder of a wider and worrying trend of rising suicides and severe psychological distress, particularly among working-age individuals grappling with intense economic and social pressures...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768436,MIPP founder reports ROS DG to MACC,,"The report was made on Feb 10 following allegations of abuse of power, arbitrary decisions, and suspicions of bribery involving the issuance of contradictory ROS official letters in a short period of time...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768441,"Masjid Tanah Bersatu implodes as Mas Ermieyati, senior leaders quit",,"She confirmed her exit when contacted by Malaysiakini ...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768443,"Rafizi slams MACC probe, accuses Anwar of letting his allies weaponise slander",,"In a video posted on his Facebook today, the former PKR deputy president also accused Prime Minister Anwar Ibrahim of allowing this to flourish, via his allies...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768449,UK cops nab Andrew Mountbatten-Windsor on suspicion of misconduct,,"Thames Valley Police confirmed the arrest on Thursday following allegations made against the former prince after the release of millions of pages of files related to paedophile financier, Jeffrey Epstein...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768450,S. Korea ex-president Yoon gets life sentence over martial law bid,,"In the first ruling on the case, the Seoul Central District Court convicted Yoon of leading an insurrection through the martial law bid but handed down a sentence lighter than the death penalty recommended by special prosecutors...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
